,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,Comedy,Crime,Western,Film-Noir,Horror,Thriller,News,War,Fantasy,Romance,Documentary,Animation,History,Adventure,Action,Sport,Family,Mystery,Sci-Fi,Short,Drama,Biography,Music,Musical
0,tt0000417,short,A Trip to the Moon,Le voyage dans la lune,0,1902,\N,13,"['Adventure', 'Fantasy', 'Sci-Fi']",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,tt0000439,short,The Great Train Robbery,The Great Train Robbery,0,1903,\N,11,"['Action', 'Short', 'Western']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,tt0000516,short,The Electric Hotel,El hotel eléctrico,0,1908,\N,8,"['Animation', 'Fantasy', 'Sci-Fi']",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3,tt0004972,movie,The Birth of a Nation,The Birth of a Nation,0,1915,\N,195,"['Drama', 'History', 'War']",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4,tt0006333,movie,"20,000 Leagues Under the Sea","20,000 Leagues Under the Sea",0,1916,\N,105,"['Action', 'Adventure', 'Sci-Fi']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
5,tt0006864,movie,Intolerance: Love's Struggle Throughout the Ages,Intolerance: Love's Struggle Throughout the Ages,0,1916,\N,163,"['Drama', 'History']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
6,tt0007264,short,The Rink,The Rink,0,1916,\N,30,"['Comedy', 'Short']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,tt0007361,movie,Snow White,Snow White,0,1916,\N,63,"['Fantasy', 'Romance']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,tt0008133,short,The Immigrant,The Immigrant,0,1917,\N,30,"['Comedy', 'Drama', 'Romance']",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,tt0010040,movie,Daddy-Long-Legs,Daddy-Long-Legs,0,1919,\N,85,"['Comedy', 'Drama']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,tt0010323,movie,The Cabinet of Dr. Caligari,Das Cabinet des Dr. Caligari,0,1920,\N,76,"['Fantasy', 'Horror', 'Mystery']",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,tt0011541,short,One Week,One Week,0,1920,\N,25,"['Comedy', 'Short']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,tt0012349,movie,The Kid,The Kid,0,1921,\N,68,"['Comedy', 'Drama', 'Family']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
13,tt0013442,movie,Nosferatu,"Nosferatu, eine Symphonie des Grauens",0,1922,\N,94,"['Fantasy', 'Horror']",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,tt0014142,movie,The Hunchback of Notre Dame,The Hunchback of Notre Dame,0,1923,\N,133,"['Drama', 'Horror', 'Romance']",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,tt0014341,movie,Our Hospitality,Our Hospitality,0,1923,\N,65,"['Comedy', 'Romance', 'Thriller']",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,tt0014429,movie,Safety Last!,Safety Last!,0,1923,\N,70,"['Comedy', 'Thriller']",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
